id,title,filtered_words,label
R129,New Report on Election,"['continue', 'performance', 'loss', 'table', 'require.', 'understand', 'tree', 'dark.', 'past', 'trouble', 'economy', 'spend', 'news', 'base', 'well.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['public', 'audience', 'front', 'action.', 'large', 'toward', 'build', 'quite.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['total', 'operation', 'newspaper', 'explain', 'force', 'thing.', 'quickly', 'staff', 'risk', 'eat', 'trade', 'in.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['least', 'room.', 'ball', 'surface', 'program.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['us', 'finally', 'life', 'five', 'another', 'always', 'if.', 'cost', 'plant', 'avoid', 'move', 'western', 'apply.', 'identify', 'fact', 'fight', 'forward', 'glass', 'ahead', 'actually.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['start', 'social', 'network', 'activity', 'growth', 'election.', 'special', 'modern', 'generation', 'administration', 'particular', 'go', 'computer', 'face.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['rich', 'defense', 'area', 'affect.', 'begin', 'official', 'meeting', 'degree', 'onto', 'threat.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['reach', 'meeting', 'movement', 'traditional', 'camera', 'style', 'speech.', 'talk', 'financial', 'compare', 'pull', 'professional', 'door.', 'employee', 'try.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['meet', 'space', 'bill.', 'perhaps', 'democrat', 'guy', 'citizen', 'us', 'blue', 'fear.', 'glass', 'idea', 'always', 'really', 'artist', 'subject', 'already.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['arrive', 'present', 'address', 'education.', 'arrive', 'contain', 'everyone', 'especially', 'else', 'seem', 'reduce', 'forward.', 'accept', 'country', 'simply', 'late', 'five', 'write', 'available.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['public', 'different', 'move', 'analysis', 'need', 'almost', 'state.', 'camera', 'fear', 'environmental', 'level', 'claim', 'skill', 'picture.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['campaign', 'mrs', 'activity.', 'economy', 'production', 'stuff', 'section.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F048,Secret Cure Confirmed by Sources,"['say', 'line', 'today', 'prevent', 'job', 'seem.', 'sit', 'west', 'house', 'forget', 'leg.', 'else', 'win', 'type', 'imagine.', 'understand', 'list', 'include', 'gas.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F082,Hoax Confirmed by Sources,"['still', 'expect', 'foreign', 'the.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F187,Miracle Drug Confirmed by Sources,"['add', 'citizen', 'political', 'successful.', 'nature', 'drive', 'social', 'thousand.', 'heavy', 'painting', 'still', 'quality', 'save', 'deep', 'democrat', 'crime.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F027,Miracle Drug Confirmed by Sources,"['former', 'measure', 'shake.', 'affect', 'step', 'enjoy', 'direction.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F202,Hoax Confirmed by Sources,"['page', 'create', 'foreign', 'water', 'manage.', 'close', 'outside', 'never.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F197,Secret Cure Confirmed by Sources,"['impact', 'summer', 'agent', 'thousand', 'rock', 'have.', 'ball', 'fill', 'sure', 'particularly.', 'whole', 'shake', 'organization', 'person.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R128,New Report on Climate Change,"['serve', 'identify', 'enter', 'mean', 'discover.', 'cut', 'reality', 'race', 'party', 'wife.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F157,Government Cover-Up Confirmed by Sources,"['summer', 'maybe', 'eat.', 'argue', 'road', 'space', 'natural', 'recognize.', 'manage', 'deep', 'wind', 'market.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F117,Hoax Confirmed by Sources,"['public', 'film.', 'charge', 'forward', 'minute', 'real', 'leader.', 'report', 'letter', 'major', 'able', 'point', 'indicate.', 'gun', 'society', 'court', 'pattern', 'culture.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F173,Secret Cure Confirmed by Sources,"['rate', 'available', 'professor', 'success', 'water', 'possible.', 'behind', 'body', 'occur', 'water', 'seek.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F024,Aliens Confirmed by Sources,"['open', 'effort', 'stage', 'night', 'table', 'it.', 'party', 'establish', 'social.', 'go', 'great', 'argue', 'wind', 'focus', 'spring', 'school.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
F096,Celebrity Scandal Confirmed by Sources,"['morning', 'say', 'discover', 'back.', 'know', 'team', 'perform', 'sit', 'poor', 'nearly', 'if.', 'strong', 'forward', 'whose', 'rest', 'home', 'daughter.', 'camera', 'administration', 'ahead', 'card', 'reflect', 'experience.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
R247,New Report on Public Health,"['natural', 'step', 'different', 'mind', 'type.', 'hit', 'least', 'despite.', 'treatment', 'avoid', 'offer', 'expect', 'office.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
F226,Government Cover-Up Confirmed by Sources,"['value', 'success', 'professional', 'stay', 'admit', 'mention', 'rather.', 'parent', 'rock', 'join.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F100,Flat Earth Confirmed by Sources,"['skill', 'special', 'maintain', 'along', 'work.', 'tell', 'wall', 'someone', 'assume', 'nothing', 'really', 'often.', 'modern', 'simply', 'continue.', '—', 'shocking', 'claims', 'flat', 'earth', 'surface', 'internet.']",FAKE
